2019-03-22 11:48:11,416 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:48:55,129 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:48:55,137 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:48:55,142 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:48:55,147 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:50:26,708 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:50:26,715 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:50:26,724 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:50:26,729 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:50:27,799 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:50:27,806 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-22 11:50:27,806 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:50:27,811 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-22 11:52:09,203 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-03-22 11:52:09,626 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.myproject:myProject:1.0.0-BUILD-SNAPSHOT @ D:\workspace\MyProjectSpring5\SpringVersion5\pom.xml.
2019-03-22 11:52:09,762 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:52:09,924 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:52:10,602 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringVersion5/src/main/java
2019-03-22 11:52:10,602 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringVersion5/src/main/resources
2019-03-22 11:52:10,603 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringVersion5/src/test/java
2019-03-22 11:52:10,603 [Worker-35] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringVersion5/src/test/resources
2019-03-22 11:52:11,243 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:52:11,385 [Worker-35] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringVersion5
2019-03-22 11:52:11,393 [Worker-35] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2019-03-22 11:52:14,012 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for junit:junit:jar:4.12 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2019-03-22 11:52:14,082 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:52:14,086 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:52:14,093 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:52:14,098 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:52:14,101 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringVersion5
2019-03-22 11:52:14,101 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringVersion5
2019-03-22 11:52:14,104 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:52:47,844 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:52:47,852 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 11:52:47,856 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 11:52:47,860 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-22 13:20:18,180 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 13:20:18,187 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-22 13:20:18,188 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-22 13:20:18,193 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-22 15:30:20,809 [Worker-124] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
